PK_UID;jaar;naamgeving;effluent_z;effluent_w;temp_z;temp_w;waterschap;wp_gj_z;wp_gj_w;opmerking;ws;tp_z_jaar;tp_w_jaar;gemeente;res_regio;tp_w_nb;tp_z_nb;tp_w_bb;tp_z_bb;provincie;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
108.0;0.0;RWZI Haastrecht;25920.0;25920.0;0.0;0.0;De Stichtse Rijnlanden;541.728;541.728;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;De Stichtse Rijnlanden;197731.0;152605.0;Krimpenerwaard;Midden-Holland;1568.0;3135.0;627.0;1254.0;Zuid-Holland;;GM1931;2851.0;;;GM1931;2851.0;;;GM1931;2851.0;;False;False;False;52.00262965194176;4.784297020906285;WarmteAtlas:AquathermieRWZI;;;
109.0;0.0;RWZI Harnaschpolder;262800.0;262800.0;0.0;0.0;HHS van Delfland;5492.52;5492.52;RWZI gegevens van watersector.nl, DWA dagdebiet is 24x uurdebiet. Indien geen DWA bekent, dan DWA = 0,3 x RWA;HHS van Delfland;2004770.0;1547243.0;Midden-Delfland;Rotterdam-Den Haag;15893.0;31786.0;6357.0;12714.0;Zuid-Holland;;GM1842;2635.0;;;GM1842;2635.0;;;GM1842;2635.0;;False;False;False;52.0154061352828;4.31887752452759;WarmteAtlas:AquathermieRWZI;;;
113.0;0.0;Awzi Ammerstol;720.0;720.0;0.0;0.0;Schieland en de Krimpenerwaard;15.048;15.048;RWZI gegevens van oude studie gedaan door Tauw voor HHSK;Schieland en de Krimpenerwaard;5493.0;4239.0;Krimpenerwaard;Midden-Holland;44.0;87.0;17.0;35.0;Zuid-Holland;;GM1931;2865.0;;;GM1931;2865.0;;;GM1931;2865.0;;False;False;False;51.93069238360864;4.805631299130185;WarmteAtlas:AquathermieRWZI;;;
114.0;0.0;Awzi Stolwijk;2160.0;2160.0;0.0;0.0;Schieland en de Krimpenerwaard;45.144;45.144;RWZI gegevens van oude studie gedaan door Tauw voor HHSK;Schieland en de Krimpenerwaard;16478.0;12717.0;Krimpenerwaard;Midden-Holland;130.0;261.0;52.0;104.0;Zuid-Holland;;GM1931;2821.0;;;GM1931;2821.0;;;GM1931;2821.0;;False;False;False;51.980248827318626;4.767155701649249;WarmteAtlas:AquathermieRWZI;;;
115.0;0.0;Awzi De Groote Zaag;16512.0;16512.0;0.0;0.0;Schieland en de Krimpenerwaard;345.1008;345.1008;RWZI gegevens van oude studie gedaan door Tauw voor HHSK;Schieland en de Krimpenerwaard;125962.0;97215.0;Krimpenerwaard;Midden-Holland;998.0;1997.0;399.0;799.0;Zuid-Holland;;GM1931;2931.0;;;GM1931;2931.0;;;GM1931;2931.0;;False;False;False;51.89780648664727;4.59714744669549;WarmteAtlas:AquathermieRWZI;;;
116.0;0.0;Awzi Bergambacht;3840.0;3840.0;0.0;0.0;Schieland en de Krimpenerwaard;80.256;80.256;RWZI gegevens van oude studie gedaan door Tauw voor HHSK;Schieland en de Krimpenerwaard;29293.0;22608.0;Krimpenerwaard;Midden-Holland;232.0;464.0;93.0;186.0;Zuid-Holland;;GM1931;2861.0;;;GM1931;2861.0;;;GM1931;2861.0;;False;False;False;51.94045032179333;4.787970088779269;WarmteAtlas:AquathermieRWZI;;;
117.0;0.0;Awzi Berkenwoude;312.0;312.0;0.0;0.0;Schieland en de Krimpenerwaard;6.5208;6.5208;RWZI gegevens van oude studie gedaan door Tauw voor HHSK;Schieland en de Krimpenerwaard;2380.0;1837.0;Krimpenerwaard;Midden-Holland;19.0;38.0;8.0;15.0;Zuid-Holland;;GM1931;2825.0;;;GM1931;2825.0;;;GM1931;2825.0;;False;False;False;51.93584263970003;4.712299128930347;WarmteAtlas:AquathermieRWZI;;;
121.0;0.0;Awzi Kortenoord;34800.0;34800.0;0.0;0.0;Schieland en de Krimpenerwaard;727.32;727.32;RWZI gegevens van oude studie gedaan door Tauw voor HHSK;Schieland en de Krimpenerwaard;265472.0;204886.0;Zuidplas;Midden-Holland;2104.0;4209.0;842.0;1684.0;Zuid-Holland;;GM1892;2911.0;;;GM1892;2911.0;;;GM1892;2911.0;;False;False;False;51.972345173001685;4.628765904070388;WarmteAtlas:AquathermieRWZI;;;
135.0;0.0;Veenendaal;18000.0;18000.0;0.0;0.0;Vallei & Veluwe;376.2;376.2;Info van watersector.nl;Vallei & Veluwe;137313.0;105976.0;Utrechtse Heuvelrug;U10/U16;1088.0;2177.0;435.0;871.0;Utrecht;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.03789212424647;5.5232381132560855;WarmteAtlas:AquathermieRWZI;;;
147.0;0.0;AWZI Bodegraven;4500.0;4500.0;0.0;0.0;HH van Rijnland;94.05;94.05;Aangeleverd door Waterschap;HH van Rijnland;34328.0;26494.0;Bodegraven-Reeuwijk;Midden-Holland;272.0;544.0;109.0;218.0;Zuid-Holland;;GM1901;2411.0;;;GM1901;2411.0;;;GM1901;2411.0;;False;False;False;52.08217825987715;4.73460398317279;WarmteAtlas:AquathermieRWZI;;;
