transformer_id;type;naam;operator;jaar;voltage_kv;latitude;longitude;primary_parent_id;aanwezige_transportcapaciteit_invoeding;aanwezige_transportcapaciteit_afname;benodigde_transportcapaciteit_invoeding;benodigde_transportcapaciteit_afname;unieke_verzoeken_invoeding;unieke_verzoeken_afname;wachtrij_invoeding;wachtrij_afname;voorspelde_capaciteit_invoeding;voorspelde_capaciteit_afname;jaartal_opgelost_invoeding;jaartal_opgelost_afname;congestiegebied_afname;congestiegebied_opwek;afname_kleurcode;opwek_kleurcode;provincie;info
OS IJBURG 20-2i;RNB;OS IJBURG 20-2i;Liander;2032;n.a.;52.354308300801684;4.997001167098761;Station Diemen 150;110.0;88.0;8.0;25.0;n.a.;4.0;n.a.;2.854;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS IJMUIDEN 50-1i;RNB;OS IJMUIDEN 50-1i;Liander;2032;n.a.;52.44818856565631;4.617219687767564;Station Velsen 150;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS IJPOLDER 10-4i;RNB;OS IJPOLDER 10-4i;Liander;2032;n.a.;52.416697123653755;4.7930812681363655;Station Amsterdam Hemweg 150;56.0;32.0;28.0;51.0;n.a.;13.0;n.a.;19.42038;n.a.;n.a.;n.a.;2027.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS KARPERWEG 10-3i;RNB;OS KARPERWEG 10-3i;Liander;2032;n.a.;52.34772751353159;4.864401582530113;Station Nieuwe Meer 150;60.0;40.0;0.0;25.0;n.a.;5.0;n.a.;0.32704;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS KARPERWEG 10-4i;RNB;OS KARPERWEG 10-4i;Liander;2032;n.a.;52.34278585012837;4.850501031272093;Station Nieuwe Meer 150;60.0;40.0;0.0;25.0;n.a.;10.0;n.a.;2.2169;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS KATTENBERG (D 219) 10-1i;RNB;OS KATTENBERG (D 219) 10-1i;Liander;2032;n.a.;52.0227250474562;5.887868431715699;Station Kattenberg 150;51.0;33.0;0.0;28.0;19.0;30.0;2.775;8.3928;n.a.;n.a.;n.a.;2029.0;n.a.;n.a.;n.a.;n.a.;Gelderland;n.a.
OS KATWIJK 10-2i;RNB;OS KATWIJK 10-2i;Liander;2032;n.a.;52.187726065649045;4.410122727517973;Station Sassenheim 150 kV;22.0;22.0;1.0;19.0;n.a.;5.0;n.a.;2.41146;n.a.;n.a.;n.a.;2031.0;n.a.;n.a.;n.a.;n.a.;Zuid-Holland;n.a.
OS KATWIJK 10-3i;RNB;OS KATWIJK 10-3i;Liander;2032;n.a.;52.204186174205724;4.408228288872203;Station Sassenheim 150 kV;22.0;22.0;4.0;19.0;n.a.;5.0;n.a.;1.08858;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Zuid-Holland;n.a.
OS KROMMENIE 50-1i;RNB;OS KROMMENIE 50-1i;Liander;2032;n.a.;52.508753548138905;4.760027933194556;Station Wijdewormer 150;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;2032.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland;n.a.
OS LEEUWARDEN 10-1i;RNB;OS LEEUWARDEN 10-1i;Liander;2032;n.a.;53.246500746973176;5.782271288282572;Station Leeuwarden 110;79.0;53.0;61.0;43.0;42.0;19.0;10.117;8.34982;n.a.;n.a.;2027.0;n.a.;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS LEEUWARDEN 10-4i;RNB;OS LEEUWARDEN 10-4i;Liander;2032;n.a.;53.174219569158524;5.817118174548384;Station Leeuwarden 110;92.0;57.0;17.0;51.0;24.0;39.0;6.434;19.32136;n.a.;n.a.;n.a.;2032.0;n.a.;n.a.;n.a.;n.a.;Friesland;n.a.
OS LEIDEN NOORD 10-1i;RNB;OS LEIDEN NOORD 10-1i;Liander;2032;n.a.;52.177720897101764;4.502545610642232;Station Leiden 150 kV;70.0;70.0;0.0;61.0;n.a.;30.0;n.a.;14.03092;n.a.;n.a.;n.a.;2035.0;n.a.;n.a.;n.a.;n.a.;Zuid-Holland;n.a.
OS LEIDEN ZUID WEST 10-1i;RNB;OS LEIDEN ZUID WEST 10-1i;Liander;2032;n.a.;52.127153081988986;4.457019776839269;Station Leiden 150 kV;40.0;40.0;9.0;39.0;n.a.;16.0;n.a.;9.2785;n.a.;n.a.;2029.0;2030.0;n.a.;n.a.;n.a.;n.a.;Zuid-Holland;n.a.
OS LEIDERDORP 10-1i;RNB;OS LEIDERDORP 10-1i;Liander;2032;n.a.;52.1783302335164;4.55732002573087;Station Leiden 150 kV;28.0;22.0;6.0;24.0;n.a.;13.0;n.a.;2.60538;n.a.;n.a.;n.a.;2030.0;n.a.;n.a.;n.a.;n.a.;Noord-Holland, Zuid-Holland;n.a.
OS LEIMUIDEN 10-2i;RNB;OS LEIMUIDEN 10-2i;Liander;2032;n.a.;52.201553038190454;4.6699461599315955;Station Leiden 150 kV;60.0;35.0;21.0;26.0;5.0;13.0;3.615;4.81958;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Flevoland, Noord-Holland, Zuid-Holland;n.a.
OS LELYSTAD 10-1i;RNB;OS LELYSTAD 10-1i;Liander;2032;n.a.;52.558034060836114;5.557805301142764;Station Lelystad 150 (CBL);66.0;38.0;12.0;18.0;18.0;24.0;11.979;8.09286;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;Flevoland;n.a.
