codering;voedingsgebied_id;voedingsgebied_dekking;voedingsgebied_aantal_pc6
BU00590107;OS BERGUM CENTRALE 10-2i;1.0;2
BU00590108;OS BERGUM CENTRALE 10-1i;1.0;13
BU00590109;OS BERGUM CENTRALE 10-1i;0.5;12
BU00590200;OS BERGUM CENTRALE 10-1i;1.0;159
BU00590201;OS BERGUM CENTRALE 10-1i;1.0;97
BU00590202;OS BERGUM CENTRALE 10-1i;1.0;26
BU00590203;OS BERGUM CENTRALE 10-1i;1.0;20
BU00590206;OS BERGUM CENTRALE 10-1i;1.0;16
BU00590207;OS BERGUM CENTRALE 10-1i;1.0;15
BU00590208;OS BERGUM CENTRALE 10-1i;0.8888888888888888;18
BU00590209;OS BERGUM CENTRALE 10-1i;0.9583333333333334;24
BU00600000;OS DOKKUM 20kV 20-1i;1.0;64
BU00600001;OS DOKKUM 20kV 20-1i;1.0;52
BU00600002;OS DOKKUM 20kV 20-1i;1.0;14
BU00600003;OS DOKKUM 20kV 20-1i;1.0;59
BU00600007;OS DOKKUM 20kV 20-1i;1.0;32
BU00600008;OS DOKKUM 20kV 20-1i;1.0;19
BU00600009;OS DOKKUM 20kV 20-1i;1.0;24
BU00720001;OS HERBAYUM 10-1i;1.0;53
BU00720002;OS HERBAYUM 10-1i;1.0;29
BU00720003;OS HERBAYUM 10-1i;1.0;29
BU00720004;OS HERBAYUM 10-1i;1.0;181
BU00720005;OS HERBAYUM 10-1i;1.0;17
BU00720006;OS HERBAYUM 10-1i;0.9858156028368794;141
BU00720007;OS HERBAYUM 10-2i;1.0;1
BU00720009;OS HERBAYUM 10-1i;1.0;8
BU00720100;OS HERBAYUM 10-1i;1.0;15
BU00720109;OS HERBAYUM 10-1i;0.7058823529411765;17
BU00720200;OS HERBAYUM 10-1i;1.0;12
BU00720209;OS HERBAYUM 10-1i;0.5454545454545454;11
BU00740100;OS HEERENVEEN 10-1i;0.9821428571428571;112
BU00740101;OS HEERENVEEN 10-1i;1.0;118
BU00740102;OS HEERENVEEN 10-1i;1.0;128
BU00740103;OS HEERENVEEN 10-1i;1.0;68
BU00740104;OS HEERENVEEN 10-1i;1.0;218
BU00740105;OS HEERENVEEN 10-1i;0.9666666666666667;30
BU00740106;OS HEERENVEEN 10-1i;1.0;74
BU00740107;OS HEERENVEEN 10-1i;0.7850467289719626;107
