buurtcode;jaar;individuele_cv;blokverwarming;stadsverwarming_hoog_gas;stadsverwarming_laag_gas;stadsverwarming_zonder_gas;elektrisch_hoog_gas;elektrisch_laag_gas;elektrisch_zonder_gas
BU03030210;2022;85.0;0.0;n.a.;n.a.;n.a.;1.0;2.0;11.0
BU03030210;2023;81.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;13.0
BU03030210;2024;74.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;20.0
BU03030211;2022;85.0;0.0;n.a.;n.a.;n.a.;1.0;2.0;11.0
BU03030211;2023;81.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;13.0
BU03030211;2024;74.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;20.0
BU03030212;2022;85.0;0.0;n.a.;n.a.;n.a.;1.0;2.0;11.0
BU03030212;2023;43.0;0.0;n.a.;n.a.;n.a.;0.0;2.0;53.0
BU03030212;2024;26.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;72.0
BU03030213;2022;89.0;0.0;n.a.;n.a.;n.a.;1.0;2.0;8.0
BU03030213;2023;88.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;8.0
BU03030213;2024;87.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;8.0
BU03030320;2022;98.0;0.0;n.a.;n.a.;n.a.;0.0;0.0;0.0
BU03030320;2023;98.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03030320;2024;97.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;0.0
BU03030321;2022;81.0;6.0;n.a.;n.a.;n.a.;6.0;0.0;1.0
BU03030321;2023;77.0;6.0;n.a.;n.a.;n.a.;6.0;1.0;5.0
BU03030321;2024;76.0;6.0;n.a.;n.a.;n.a.;6.0;1.0;5.0
BU03030322;2022;86.0;12.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03030322;2023;84.0;12.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
BU03030322;2024;82.0;12.0;n.a.;n.a.;n.a.;3.0;2.0;1.0
BU03030323;2022;86.0;0.0;n.a.;n.a.;n.a.;6.0;1.0;5.0
BU03030323;2023;80.0;0.0;n.a.;n.a.;n.a.;9.0;1.0;9.0
BU03030323;2024;78.0;0.0;n.a.;n.a.;n.a.;9.0;2.0;11.0
BU03030324;2022;99.0;0.0;n.a.;n.a.;n.a.;0.0;1.0;0.0
BU03030324;2023;98.0;0.0;n.a.;n.a.;n.a.;0.0;2.0;0.0
BU03030324;2024;94.0;0.0;n.a.;n.a.;n.a.;0.0;4.0;2.0
BU03030430;2022;96.0;0.0;n.a.;n.a.;n.a.;3.0;0.0;1.0
BU03030430;2023;90.0;0.0;n.a.;n.a.;n.a.;6.0;1.0;3.0
BU03030430;2024;87.0;0.0;n.a.;n.a.;n.a.;6.0;4.0;4.0
BU03030431;2022;97.0;0.0;n.a.;n.a.;n.a.;2.0;0.0;1.0
BU03030431;2023;93.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;1.0
BU03030431;2024;89.0;0.0;n.a.;n.a.;n.a.;6.0;3.0;2.0
BU03030432;2022;98.0;0.0;n.a.;n.a.;n.a.;1.0;0.0;0.0
BU03030432;2023;96.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;1.0
BU03030432;2024;95.0;0.0;n.a.;n.a.;n.a.;3.0;1.0;1.0
BU03030433;2022;94.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;5.0
BU03030433;2023;92.0;0.0;n.a.;n.a.;n.a.;2.0;1.0;5.0
BU03030433;2024;90.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;5.0
BU03030434;2022;98.0;0.0;n.a.;n.a.;n.a.;1.0;1.0;0.0
BU03030434;2023;95.0;0.0;n.a.;n.a.;n.a.;2.0;2.0;1.0
BU03030434;2024;93.0;0.0;n.a.;n.a.;n.a.;3.0;3.0;1.0
BU03030435;2022;91.0;0.0;n.a.;n.a.;n.a.;4.0;1.0;4.0
BU03030435;2023;84.0;0.0;n.a.;n.a.;n.a.;7.0;1.0;7.0
BU03030435;2024;76.0;0.0;n.a.;n.a.;n.a.;11.0;2.0;12.0
