PK_UID;Vergunning;Naam;Drijverna0;Gemeente;kton2013;kton2014;kton2015;kton2016;kton2017;kton2018;kton2019;kton2020;kton2021;kton2022;kton2023;kton2024;kton2025;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
70;NL-200400086;Universiteit Utrecht, locatie De Uithof;Universiteit Utrecht;UTRECHT;37285;30879;33830;35091;37009;36219;36886;31226;31159;9969;24902;26078;19584;BU03440533;GM0344;3584.0;3584CS;BU03440533;GM0344;3584.0;3584CS;BU03440533;GM0344;3584.0;3584CS;False;False;False;52.08517268362139;5.175448115850233;WarmteAtlas:CO2emissieETSbedrijven;;;
71;NL-200400088;Nuon Power Buggenum (WAC);N.V. Nuon Energy Sourcing;HAELEN;290920;0;0;0;0;0;0;0;0;0;0;0;0;BU16400501;GM1640;6081.0;6081NT;BU16400501;GM1640;6081.0;6081NK;BU16400501;GM1640;6081.0;6081NK;False;False;False;51.22394947398341;5.971163918738523;WarmteAtlas:CO2emissieETSbedrijven;;;
72;NL-200400089;Vattenfall Power IJmond;Vattenfall Power Generation Netherlands B.V.;VELSEN;2014494;2115650;1984210;2149598;1719252;2028012;1751361;1725331;1738870;1541031;412456;1224804;1398891;BU04530501;GM0453;1951.0;1951HJ;BU04530501;GM0453;1951.0;1951HJ;BU04530501;GM0453;1951.0;1951HJ;False;False;False;52.47131034347523;4.628035839879145;WarmteAtlas:CO2emissieETSbedrijven;;;
73;NL-200400090;Vattenfall Power Velsen;Vattenfall Power Generation Netherlands B.V.;VELSEN-NOORD;3851617;3984095;4053148;3633608;3975578;3768890;3875534;3418661;4026054;3911507;3635745;4068898;3745786;BU04530501;GM0453;1951.0;1951HJ;BU04530501;GM0453;1951.0;1951HJ;BU04530501;GM0453;1951.0;1951HJ;False;False;False;52.47131034347523;4.628035839879145;WarmteAtlas:CO2emissieETSbedrijven;;;
74;NL-200400091;Eneco Centrale Merwedekanaal;Eneco Warmteproductie Utrecht B.V.;UTRECHT;335280;145594;173637;231009;319491;294134;303415;200979;176806;95218;77418;117591;148136;BU03440132;GM0344;3534.0;3534AC;BU03440132;GM0344;3534.0;3534AC;BU03440132;GM0344;3534.0;3534AC;False;False;False;52.10096625998576;5.0784192889472255;WarmteAtlas:CO2emissieETSbedrijven;;;
75;NL-200400092;Vattenfall Centrale Diemen;Vattenfall Power Generation Netherlands B.V.;DIEMEN;1043709;1061649;944331;983910;1063245;1218820;1287229;1320706;1265502;1054189;1124609;1057332;1045658;BU03840803;GM0384;1111.0;1111PP;BU03840803;GM0384;1111.0;1111PP;BU03840803;GM0384;1111.0;1111PP;False;False;False;52.33844963642169;5.0205425532974335;WarmteAtlas:CO2emissieETSbedrijven;;;
76;NL-200400093;Nuon Warmtekrachtcentrale Purmerend;Vattenfall Power Generation Netherlands B.V.;PURMEREND;107826;45206;0;0;0;0;0;0;0;0;0;0;0;BU04390505;GM0439;1446.0;1446TG;BU04390505;GM0439;1446.0;1446TG;BU04390505;GM0439;1446.0;1446TG;False;False;False;52.51584532006725;4.995116907983971;WarmteAtlas:CO2emissieETSbedrijven;;;
77;NL-200400097;McCain Foods Holland B.V., vestiging Lelystad;McCain Foods Holland B.V.;LELYSTAD;22559;22750;24934;26425;26864;26682;26403;20259;23575;23740;24856;23922;19303;BU09951084;GM0995;8211.0;8211AG;BU09951084;GM0995;8211.0;8211AG;BU09951084;GM0995;8211.0;8211AG;False;False;False;52.540452572932395;5.525716835018438;WarmteAtlas:CO2emissieETSbedrijven;;;
78;NL-200400099;Aviko B.V., vestiging Steenderen;Aviko B.V.;STEENDEREN;58619;60071;64385;63569;64132;63705;64146;56925;61406;61668;60056;58033;53297;BU18760300;GM1876;7221.0;7221CA;BU18760300;GM1876;7221.0;7221CA;BU18760300;GM1876;7221.0;7221CA;False;False;False;52.06716808839406;6.191089935419457;WarmteAtlas:CO2emissieETSbedrijven;;;
79;NL-200400101;Nederlandse Gasunie CS Wieringermeer N.V.;N.V. Nederlandse Gasunie;MIDDENMEER;8271;2635;2337;2856;3820;6350;13102;20082;22674;25951;6824;88;333;BU19111090;GM1911;1775.0;1775RG;BU19111090;GM1911;1775.0;1775RG;BU19111090;GM1911;1775.0;1775RG;False;False;False;52.75639256263209;5.0502341145997605;WarmteAtlas:CO2emissieETSbedrijven;;;
