waterschap;res_gebied;naamgeving;min_uur;med_uur;gj_exwko;min_gj_ex;opmerking;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
Aa en Maas;Noord-oost Brabant;Grave;38.0566666667;77.6666666667;4389.22;2150.71;;;GM1982;;;;GM1982;;;;GM1982;;;False;False;False;51.76023712404756;5.732937406723376;WarmteAtlas:TEA_assets_zonder_wko;;;
Aa en Maas;Noord-oost Brabant;Vught;0.0;0.0;0.0;0.0;;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.67111369337734;5.284653449936824;WarmteAtlas:TEA_assets_zonder_wko;;;
Brabantse Delta;West-Brabant;rg. Alphen;13.6383333333;27.8333333333;770.75;0.0;;;GM1723;;;;GM1723;;;;GM1723;;;False;False;False;51.48212758084059;4.96312357628602;WarmteAtlas:TEA_assets_zonder_wko;;;
Brabantse Delta;Hart van Brabant;rg. Waspik;14.9245833333;30.4583333333;843.44;0.0;;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.68932371880383;4.94347060192712;WarmteAtlas:TEA_assets_zonder_wko;;;
Brabantse Delta;Hart van Brabant;rg. Sprang Capelle;38.0975;77.75;4393.93;2153.02;;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.673690380095664;5.007977171061174;WarmteAtlas:TEA_assets_zonder_wko;;;
Brabantse Delta;Hart van Brabant;rg. Waalwijk;120.519583333;245.958333333;13899.99;6810.99;;;GM0867;;;;GM0867;;;;GM0867;;;False;False;False;51.69394384600263;5.074790388082352;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Duin;24.6633333333;50.3333333333;2844.51;1393.81;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.61236393422841;5.458256575473734;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Olland;1.715;3.5;96.92;0.0;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.57970555144907;5.40949618769192;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Nijnsel;16.5579166667;33.7916666667;935.74;0.0;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.55339336236985;5.4884608620703865;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Kienehoef;68.1508333332;139.083333333;7860.09;3851.44;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.5679732100732;5.460545708681869;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Boskant;7.16625;14.625;404.99;0.0;;;GM1948;;;;GM1948;;;;GM1948;;;False;False;False;51.549597643786;5.424148635565377;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Biezenmortel;10.3920833333;21.2083333333;587.29;0.0;;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.62896969483304;5.177823151405942;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Noord-oost Brabant;Helvoirt;33.4220833333;68.2083333333;3854.69;1888.8;;;GM0865;;;;GM0865;;;;GM0865;;;False;False;False;51.63183706733455;5.233814734428278;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap De Dommel;Hart van Brabant;Udenhout;81.89125;167.125;9444.83;4627.96;;;GM0855;;;;GM0855;;;;GM0855;;;False;False;False;51.61499857869916;5.140347872611121;WarmteAtlas:TEA_assets_zonder_wko;;;
Waterschap Hollandse Delta;Rotterdam-Den Haag;rwzi Rozenburg;81.7;190.0;26843.96;11542.9;Gegevens van watersector.nl;;GM0599;3181.0;;;GM0599;3181.0;;;GM0599;3181.0;;False;False;False;51.91805972564442;4.226197000977703;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Harmelen;29.4;60.0;3390.81;1661.49;;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.08791980098226;4.9628298430459825;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Zegveld;9.555;19.5;539.98;0.0;;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.11259525953214;4.833892735918506;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Kamerik;9.555;19.5;539.98;0.0;;;GM0632;;;;GM0632;;;;GM0632;;;False;False;False;52.111364965147956;4.892124650678416;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Amerongen;0.0;0.0;0.0;0.0;;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;51.99626072579313;5.455722955551317;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Hertenkamp;0.0;0.0;0.0;0.0;;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.0630395528313;5.263737707792915;WarmteAtlas:TEA_assets_zonder_wko;;;
De Stichtse Rijnlanden;U10/U16;Leersum;15.68;32.0;886.13;0.0;;;GM1581;;;;GM1581;;;;GM1581;;;False;False;False;52.00590649368051;5.426657974744351;WarmteAtlas:TEA_assets_zonder_wko;;;
