P50;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;centroid_lat;centroid_lon;geom_wkt;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
8.049321;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.565006720824776;6.541759803601257;MULTIPOLYGON (((6.534095 53.560587, 6.534336 53.56957, 6.549426 53.569426, 6.549182 53.560443, 6.534095 53.560587)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.110505;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.564861433384024;6.556848943647334;MULTIPOLYGON (((6.549182 53.560443, 6.549426 53.569426, 6.564517 53.56928, 6.56427 53.560297, 6.549182 53.560443)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
8.633471;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56471426014978;6.5719379657323875;MULTIPOLYGON (((6.56427 53.560297, 6.564517 53.56928, 6.579608 53.569131, 6.579357 53.560149, 6.56427 53.560297)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
9.784578;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.564565201152305;6.587026868336609;MULTIPOLYGON (((6.579357 53.560149, 6.579608 53.569131, 6.594698 53.568981, 6.594445 53.559999, 6.579357 53.560149)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
11.090185;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.564414256422374;6.602115649940265;MULTIPOLYGON (((6.594445 53.559999, 6.594698 53.568981, 6.609788 53.568829, 6.609532 53.559847, 6.594445 53.559999)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
13.059288;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.56426142599106;6.6172043090237;MULTIPOLYGON (((6.609532 53.559847, 6.609788 53.568829, 6.624879 53.568676, 6.624619 53.559693, 6.609532 53.559847)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
4.781014;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.557372559488385;6.390651508744655;MULTIPOLYGON (((6.383003 53.552943, 6.383213 53.561927, 6.398301 53.561801, 6.398089 53.552818, 6.383003 53.552943)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
5.521268;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.557246165297876;6.405738577914387;MULTIPOLYGON (((6.398089 53.552818, 6.398301 53.561801, 6.41339 53.561674, 6.413174 53.552691, 6.398089 53.552818)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.503889;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.557117885534964;6.420825544398242;MULTIPOLYGON (((6.413174 53.552691, 6.41339 53.561674, 6.428478 53.561545, 6.42826 53.552561, 6.413174 53.552691)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
6.696762;BU19669998;GM1966;BU19669998;GM1966;BU19669998;GM1966;False;False;53.55698772022603;6.435912406676739;MULTIPOLYGON (((6.42826 53.552561, 6.428478 53.561545, 6.443567 53.561414, 6.443345 53.55243, 6.42826 53.552561)));WarmteAtlas:AardwarmteP50Vermogen;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-24T11:35:30;
