X;Y;BronNaam;BronTemp;TypeBron;MWth;Status;CapFactor;VolFactor;ProdKost;UitMin;UitMax;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
216034;488337;Bouwhuis Enthoven BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU01770116;GM0177;8102.0;8102HH;BU01770116;GM0177;8102.0;8102HH;BU01770116;GM0177;8102.0;8102HH;False;False;False;52.379499707248144;6.283593884905275;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
215127;487903;BV Lupack Vleeswaren  en Conservenfabriek;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU01770108;GM0177;8101.0;8101PN;BU01770108;GM0177;8101.0;8101PN;BU01770108;GM0177;8101.0;8101PN;False;False;False;52.37569961512328;6.2701968563590835;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
62596;389138;J  Barbu BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU07030006;GM0703;4401.0;4401NV;BU07030006;GM0703;4401.0;4401NV;BU07030006;GM0703;4401.0;4401NV;False;False;False;51.48369736118318;4.056858673338331;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
61524;389214;Jan Prins Zeeuwsche Banier BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU07030001;GM0703;4401.0;4401NC;BU07030001;GM0703;4401.0;4401NC;BU07030001;GM0703;4401.0;4401NC;False;False;False;51.48420348972442;4.0414088951887495;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
61075;387063;Lamb Weston Meijer VOF;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU07030106;GM0703;4416.0;4416PJ;BU07030106;GM0703;4416.0;4416PJ;BU07030106;GM0703;4416.0;4416PJ;False;False;False;51.46479856445516;4.035520385269612;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
62112;391094;Lenger Seafoods Yerseke BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU07030000;GM0703;4401.0;4401LA;BU07030000;GM0703;4401.0;4401LA;BU07030000;GM0703;4401.0;4401LA;False;False;False;51.5011956759318;4.049375534997044;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
61934;390975;Roem van Yerseke BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU07030000;GM0703;4401.0;4401KZ;BU07030000;GM0703;4401.0;4401KZ;BU07030000;GM0703;4401.0;4401KZ;False;False;False;51.500096872139764;4.046844058560114;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
165030;454468;Scholtus Special Products BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU03390000;GM0339;3927.0;3927GG;BU03390000;GM0339;3927.0;3927GG;BU03390000;GM0339;3927.0;3927GG;False;False;False;52.07839576068024;5.533515827228887;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
140173;374766;Leijtens Snacks en Frites;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU16670000;GM1667;5541.0;5541CV;BU16670000;GM1667;5541.0;5541CV;BU16670000;GM1667;5541.0;5541CV;False;False;False;51.361896300264924;5.1743134986515855;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
204108;452264;Chocolade  en Suikerwerkenfabriek Donkers BV;0.0;Voedingsmiddelen_dranken_tabak;0.0;Optie B;0.0;0.0;;;;BU02750001;GM0275;6951.0;6951KG;BU02750001;GM0275;6951.0;6951KG;BU02750001;GM0275;6951.0;6951KG;False;False;False;52.0564996338195;6.1032232445712244;WarmteAtlas:LT_WarmteBronnen_ECW;https://www.warmteatlas.nl/geoserver/WarmteAtlas/wfs;2026-06-23T13:53:17;
