codering;categorie;scenario;jaar;ev_aantal;totaal
BU06420104;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420107;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420108;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420109;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420112;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420207;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420209;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420301;vrachtauto;low;2025;0.075023322545471;0.0
BU06420302;vrachtauto;low;2025;0.075023322545471;0.0
BU06420307;vrachtauto;low;2025;0.0307425680489795;0.0
BU06420308;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420309;vrachtauto;low;2025;0.075023322545471;0.0
BU06420310;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420312;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420313;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420401;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420402;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420403;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420404;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420405;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420406;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420408;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420410;vrachtauto;low;2025;0.075023322545471;0.0
BU06420512;vrachtauto;low;2025;0.0655681117872049;0.0
BU06420514;vrachtauto;low;2025;0.075023322545471;0.0
BU06420515;vrachtauto;low;2025;0.0655681117872049;0.0
BU04820204;auto;low;2030;1.9659667353181658;0.0
BU04820604;auto;low;2030;23.195590929271535;20.0
BU05050606;auto;low;2030;0.10253424471250859;0.0
BU05050706;auto;low;2030;0.1473662719396888;0.0
BU05050709;auto;low;2030;23.639314569989484;0.0
BU05050710;auto;low;2030;42.69039894709627;0.0
BU05050711;auto;low;2030;1.9917009788016884;0.0
BU05051000;auto;low;2030;28.809602627921553;0.0
BU05051004;auto;low;2030;149.79374255864042;25.0
BU05051009;auto;low;2030;2.265534397447607;0.0
BU05051900;auto;low;2030;77.9394730109488;75.0
BU05051902;auto;low;2030;87.69399800934019;10.0
BU05051912;auto;low;2030;1.5354924263059986;0.0
BU00140007;auto;low;2030;0.08285311602890691;0.0
BU00140510;auto;low;2030;2.0002809442691096;0.0
BU00141107;auto;low;2030;0.4378530210717251;0.0
BU00141207;auto;low;2030;0.5427811320813778;0.0
BU00141505;auto;low;2030;12.330872335266779;5.0
BU00141705;auto;low;2030;2.790288295839533;0.0
BU00141803;auto;low;2030;0.6484884241283164;0.0
BU00141907;auto;low;2030;0.6273665563284283;0.0
BU05230304;auto;low;2030;0.1528020788622322;0.0
BU05230310;auto;low;2030;3.9490465907343912;0.0
BU05230404;auto;low;2030;27.645422811227036;0.0
BU05310502;auto;low;2030;36.98036945272081;10.0
BU06420103;auto;low;2030;1.2525792022901079;0.0
BU06420106;auto;low;2030;26.429421168321277;0.0
BU06420306;auto;low;2030;0.1259102999077952;0.0
BU06420501;auto;low;2030;0.11057925146839401;0.0
BU04820101;bestelauto;low;2030;7.972911967491534;0.0
BU04820102;bestelauto;low;2030;3.669196477800921;0.0
BU04820103;bestelauto;low;2030;10.911807084350173;0.0
