diam;ash;kw;x;y;land;lat;lon;buurtcode_2023;gemeentecode_2023;buurtcode_2024;gemeentecode_2024;buurtcode_2025;gemeentecode_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd
33.4;40.3;300.0;185594.2926;558461.4201;NL;53.012224836119465;5.843050951404663;BU19405001;GM1940;BU19405001;GM1940;BU19405001;GM1940;False;False
33.4;30.0;300.0;188570.8375;598684.4087;NL;53.37346407613708;5.891595736683671;BU19700608;GM1970;BU19700608;GM1970;BU19700608;GM1970;False;False
33.4;40.0;300.0;206309.7405;591370.9921;NL;53.306344017205866;6.15692070272559;BU19701109;GM1970;BU19701109;GM1970;BU19701109;GM1970;False;False
33.4;32.0;300.0;115992.0115;531506.8139;NL;52.769467149266205;4.809221167304321;BU19111390;GM1911;BU19111390;GM1911;BU19111390;GM1911;False;False
33.4;40.0;300.0;116320.0886;529676.9493;NL;52.75304675859891;4.814296981603701;BU04410890;GM0441;BU04410890;GM0441;BU04410890;GM0441;False;False
33.4;32.0;300.0;116961.4716;530337.2789;NL;52.759026056024645;4.8237201578003965;BU19111890;GM1911;BU19111890;GM1911;BU19111890;GM1911;False;False
33.4;40.0;300.0;119003.2567;541400.0066;NL;52.858578470730116;4.8527528430311495;BU19110191;GM1911;BU19110191;GM1911;BU19110191;GM1911;False;False
33.4;40.0;300.0;120465.7912;540073.4545;NL;52.846753025796744;4.874606389645343;BU19110191;GM1911;BU19110191;GM1911;BU19110191;GM1911;False;False
33.4;40.0;300.0;121901.0014;541683.965;NL;52.86131510467047;4.895746161869651;BU19110191;GM1911;BU19110191;GM1911;BU19110191;GM1911;False;False
33.4;27.0;300.0;28934.4958;393318.3095;NL;51.51473095872345;3.570934475323538;BU07170709;GM0717;BU07170709;GM0717;BU07170709;GM0717;False;False
