gemeentecode;bestelauto_buurtsom_actueel;vrachtauto_buurtsom_actueel;bestelauto_cbs2023;vrachtauto_cbs2023;bestelauto_afwijking_pct;vrachtauto_afwijking_pct
GM1774;3008;223;2723.0;192.0;10.46639735585751;16.145833333333332
GM1783;11410;1316;9542.0;1014.0;19.576608677426115;29.783037475345168
GM1842;1256;136;1341.0;133.0;-6.33855331841909;2.255639097744361
GM1859;3428;208;2970.0;187.0;15.42087542087542;11.229946524064172
GM1876;3665;141;3397.0;139.0;7.889314100677068;1.4388489208633093
GM1883;4682;334;5068.0;304.0;-7.616416732438832;9.868421052631579
GM1884;1966;210;1853.0;181.0;6.098219104155423;16.022099447513813
GM1891;1718;64;1533.0;55.0;12.067840834964123;16.363636363636363
GM1892;3553;189;2945.0;161.0;20.64516129032258;17.391304347826086
GM1894;3297;234;2989.0;208.0;10.304449648711945;12.5
GM1895;2353;145;2167.0;127.0;8.583294877711122;14.173228346456693
GM1896;2926;277;2567.0;173.0;13.985196727697701;60.115606936416185
GM1900;7248;389;7052.0;359.0;2.779353374929098;8.356545961002785
GM1901;2870;242;2573.0;222.0;11.54294597745822;9.00900900900901
GM1903;1489;151;1362.0;128.0;9.324522760646108;17.96875
GM1904;3400;151;2949.0;137.0;15.29331976941336;10.218978102189782
GM1911;4939;288;4480.0;253.0;10.245535714285714;13.83399209486166
GM1916;1704;74;3084.0;81.0;-44.747081712062254;-8.641975308641975
GM1924;4422;235;3650.0;185.0;21.15068493150685;27.027027027027028
GM1926;2708;210;2610.0;182.0;3.7547892720306515;15.384615384615385
GM1930;3849;185;3124.0;106.0;23.207426376440463;74.52830188679245
GM1931;3722;280;4175.0;273.0;-10.850299401197605;2.5641025641025643
GM1940;4702;232;4375.0;207.0;7.474285714285714;12.077294685990339
GM1942;2046;50;1771.0;47.0;15.527950310559007;6.382978723404255
GM1945;1851;72;1734.0;68.0;6.747404844290657;5.882352941176471
GM1948;8537;719;7356.0;565.0;16.054921152800436;27.256637168141594
GM1949;4004;222;3739.0;205.0;7.087456539181599;8.292682926829269
GM1950;2378;84;2047.0;74.0;16.17000488519785;13.513513513513514
GM1952;3959;271;3552.0;236.0;11.458333333333334;14.830508474576272
GM1954;1678;125;2054.0;139.0;-18.30574488802337;-10.071942446043165
GM1955;2836;124;2263.0;233.0;25.320371188687584;-46.78111587982833
GM1959;5632;519;4899.0;418.0;14.962237191263522;24.16267942583732
GM1960;6041;661;5134.0;545.0;17.666536813400857;21.28440366972477
GM1961;5709;436;5003.0;529.0;14.11153308015191;-17.580340264650285
GM1963;6182;374;5550.0;309.0;11.387387387387387;21.035598705501616
GM1966;3530;120;3322.0;113.0;6.261288380493679;6.1946902654867255
