PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y;buurtcode_2023;gemeentecode_2023;pc4_code_2023;pc6_code_2023;buurtcode_2024;gemeentecode_2024;pc4_code_2024;pc6_code_2024;buurtcode_2025;gemeentecode_2025;pc4_code_2025;pc6_code_2025;buurtcode_gewijzigd;gemeentecode_gewijzigd;pc4_gewijzigd;lat;lon;meta_source_layer;meta_source_wfs_url;meta_retrieved_at;meta_source_last_modified
6;Bytesnet;De Bunders;1;Groningen;9747 AX;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;35-50;(1) uitkoppeling wamte vindt al plaats;231413;583314;BU00140903;GM0014;9743;9743AD;BU00140903;GM0014;9743;9743AD;BU00140903;GM0014;9743;9743AD;False;False;False;53.230958860280424;6.5315207169254235;WarmteAtlas:DataCentraWarmte_2021;;;
7;Bytesnet;Vlaardingweg;62;Rotterdam;3044 CK;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(4) uitkoppeling pas mogelijk na een grote investering;88062;438462;BU05991853;GM0599;3044;3044CK;BU05991853;GM0599;3044;3044CK;BU05991853;GM0599;3044;3044CK;False;False;False;51.93059474828874;4.413939393021612;WarmteAtlas:DataCentraWarmte_2021;;;
8;Cegeka;Transportlaan;100;Geleen;6163 CX ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;185980;332351;BU18830503;GM1883;6163;6163CX;BU18830503;GM1883;6163;6163CX;BU18830503;GM1883;6163;6163CX;False;False;False;50.979991360782066;5.828329557675438;WarmteAtlas:DataCentraWarmte_2021;;;
99;NorthC;Lakenblekerstraat;13;Aalsmeer;1431 GE;4;Middel-klein;2000-5000;5-12;22-44;15-30;60-240;20-25;(1) uitkoppeling wamte vindt al plaats;113091;474818;BU03580004;GM0358;1431;1431GE;BU03580004;GM0358;1431;1431GE;BU03580004;GM0358;1431;1431GE;False;False;False;52.259796976867094;4.773360544213846;WarmteAtlas:DataCentraWarmte_2021;;;
100;NorthC;Kabelweg;48;Amsterdam;1014 BB;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;118382;489641;BU0363EA01;GM0363;1014;1014BB;BU0363EA01;GM0363;1014;1014BB;BU0363EA01;GM0363;1014;1014BB;False;False;False;52.39339314841707;4.849243476187319;WarmteAtlas:DataCentraWarmte_2021;;;
101;NorthC;Heertjeslaan;1;Delft;2629 JG;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;85698;444833;BU05032901;GM0503;2629;2629JG;BU05032901;GM0503;2629;2629JG;BU05032901;GM0503;2629;2629JG;False;False;False;51.98756183398267;4.378286279793903;WarmteAtlas:DataCentraWarmte_2021;;;
102;NorthC;High Tech Campus;53;Eindhoven;5656 AG;3;Klein;1000-2000;2,5-5;4,4-8,8;3-6;12-30;20-25;(1) uitkoppeling wamte vindt al plaats;159979;379859;BU07727270;GM0772;5656;5656AG;BU07727270;GM0772;5656;5656AG;BU07727270;GM0772;5656;5656AG;False;False;False;51.40784788985363;5.458761582149973;WarmteAtlas:DataCentraWarmte_2021;;;
103;NorthC;Liverpoolweg;10;Groningen;9744 TW;3;Klein;1000-2000;0,5-2,5;4,4-8,8;3-6;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;227615;580666;BU00140802;GM0014;9744;9744TW;BU00140802;GM0014;9744;9744TW;BU00140802;GM0014;9744;9744TW;False;False;False;53.2076974050788;6.474056067651541;WarmteAtlas:DataCentraWarmte_2021;;;
104;NorthC;Frieslandhaven;6;Nieuwegein;3433 PC;4;Middel-klein;2000-5000;5-12;22-44;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;135581;447761;BU03562200;GM0356;3433;3433PC;BU03562200;GM0356;3433;3433PC;BU03562200;GM0356;3433;3433PC;False;False;False;52.01786418808571;5.1043107868892905;WarmteAtlas:DataCentraWarmte_2021;;;
105;NorthC;Fokkerweg;300;Oude Meer;1438 AN;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;113782;478124;BU03940675;GM0394;1438;1438AN;BU03940675;GM0394;1438;1438AN;BU03940675;GM0394;1438;1438AN;False;False;False;52.289561219214626;4.783077717307574;WarmteAtlas:DataCentraWarmte_2021;;;
