child_transformer_id;parent_transformer_id
TH212_10_AB;Station Middelburg 150
TH210_10;Station Oostburg 150
CM51;Station Rijswijk 150 kV
CM47;Station Rotterdam Waalhaven 150 kV
CM55;Station Voorburg 150 kV
CM60;Station Merwedekanaal
TT013_10;Station Rotterdam Marconistraat 150 kV
TT224_10_A;Station Westdorpe 150
CM54;Station Rijswijk 150 kV
CM56;Station Voorburg 150 kV
CM18;Station Borssele 150
TT088_13;Station Alblasserdam 150 kV
CM00;Station Goes de Poel 150
CM40;Station Driebergen 150
CM39;Station Nieuwegein 150
CM14;Station Breukelen 150
TT038_10;Station Delft 150 kV
TH056_25;Station Oudeland 150
CM85;Station Botlek 150
TT018_10;Station Rotterdam Marconistraat 150 kV
TT070_10;Station Zoetermeer 150 kV
TH010_10;Station Delft 150 kV
TH011_23;Station Zoetermeer 150 kV
TS068_10;Station Oudenrijn 150
TH086_13;Station Middelharnis 150
TT219_10_A;Station Westdorpe 150
CM38;Station Veenendaal 't Goeie Spoor 150
CM39;Station Utrecht Lage Weide 150
CM13;Station Breukelen 150
CM26;Station Voorburg 150 kV
CM12;Station Soest 150
CM24;Station Zoetermeer 150 kV
CM24;Station Delft 150 kV
TT020_10;Station Rotterdam Marconistraat 150 kV
TT104_10;Station Delft 150 kV
CM44;Station Rilland 150
CM39;Station Driebergen 150
CM22;Station Dordrecht Merwedehaven 150 kV
TT110_10;Station Delft 150 kV
TH212_10_C;Station Middelburg 150
CM63;Station Dordrecht Zuid 150
118065277_23;Station Rotterdam Zuidwijk 150 kV
CM63;Station Arkel 150
CM15;Station Bunschoten
TT114_10;Station Ommoord 150 kV
TS073_10;Station Driebergen 150
CM35/72;Station Ypenburg 150 kV
TH029_10;Station Botlek 150
TS040_10;Station Breukelen 150
CM41;Station Driebergen 150
CM41;Station Nieuwegein 150
TH027_10;Station Europoort 150
TT008_10;Station Rotterdam Waalhaven 150 kV
TH021_23;Station Botlek 150
TH021_10;Station Botlek 150
TH027_23;Station Europoort 150
CM35/72;Station Delft 150 kV
CM19/30;Station Delft 150 kV
TT220_10;Station Westdorpe 150
CM38;Station Veenendaal Wageningselaan 150
TS060_10;Station Soest 150
CM28;Station Gouda 150 kV
TT068_23;Station Ypenburg 150 kV
CM60;Station Nieuwegein 150
CM29/64;Station Dordrecht Merwedehaven 150 kV
CM26;Station Rijswijk 150 kV
TT049_10;Station Zoetermeer 150 kV
TT050_10;Station Voorburg 150 kV
CM58;Station Oudenrijn 150
TH215_10_A;Station Borssele 150
TH209_10;Station Kruiningen 150
CM37;Station Nieuwegein 150
TS059_10;Station Veenendaal Wageningselaan 150
TS058_10;Station Veenendaal 't Goeie Spoor 150
CM35/72;Station Voorburg 150 kV
TT091_13;Station Middelharnis 150
TT010_10;Station Ommoord 150 kV
TS056_10;Station Soest 150
TS044_10;Station Driebergen 150
CM34/46;Station Middelburg 150
TT006_10;Station Alphen a/d Rijn 150 kV
CM23;Station Delft 150 kV
CM23;Station Zoetermeer 150 kV
CM34/46;Station Vlissingen 150
TT015_10;Station Rotterdam Marconistraat 150 kV
CM59;Station Nieuwegein 150
CM59;Station Breukelen 150
TS071_10;Station Soest 150
CM39;Station Merwedekanaal
CM00;Station Kruiningen 150
CM08;Station Alphen a/d Rijn 150 kV
TS070_10;Station Breukelen 150
TT005_10;Station Rotterdam Waalhaven 150 kV
CM09;Station Gouda 150 kV
CM74;Station Europoort 150
CM54;Station Voorburg 150 kV
CM71;Station Terneuzen 150
CM71;Station Westdorpe 150
CM66;Station Dordrecht Merwedehaven 150 kV
TS054_10;Station Oudenrijn 150
CM07;Station Gouda 150 kV
CM36;Station Driebergen 150
CM77;Station Oudeland 150
CM77;Station Botlek 150
CM80;Station Rilland 150
CM66;Station Arkel 150
CM47;Station Krimpen a/d IJssel 150 kV
